max_periods,n_groups,var,p_min,p_max,n_sims,intercept,slope
3,50,x1,0.0925,0.19375,500,0.10363032863069466,0.02789270974999431
3,50,x1,0.0925,0.19375,500,0.10492852259398977,0.04588126259085771
3,50,x1,0.0925,0.19375,500,0.11561733218285118,0.049454582706382935
3,50,x1,0.0925,0.19375,500,0.11010602703886373,0.05032734131103348
3,50,x1,0.0925,0.19375,500,0.07232886570104657,0.18091477044869642
3,50,x1,0.0925,0.19375,500,0.08444707458079932,0.04932294817205958
3,50,x1,0.0925,0.19375,500,0.0883879598672358,0.2202984696036321
3,50,x1,0.0925,0.19375,500,0.0882820872283064,0.011543604228378626
3,50,x1,0.0925,0.19375,500,0.08499080777708126,0.07285407437431789
3,50,x1,0.0925,0.19375,500,0.07127712755771319,0.11759070976725858
3,50,x1,0.0925,0.19375,500,0.1115374310504061,0.13077961098840774
3,50,x1,0.0925,0.19375,500,0.08692212395668195,0.16788445733759463
3,50,x1,0.0925,0.19375,500,0.07437811307472361,0.08253954410535559
3,50,x1,0.0925,0.19375,500,0.10345484852856533,0.13258712990016283
3,50,x1,0.0925,0.19375,500,0.07067853177748608,0.6022430856557791
3,50,x1,0.0925,0.19375,500,0.12861482638095523,0.0895838120412682
3,50,x1,0.0925,0.19375,500,0.07567528640164119,0.21361795043817366
3,50,x1,0.0925,0.19375,500,0.11269426755806496,0.049882677400580284
3,50,x1,0.0925,0.19375,500,0.08245610397217054,0.19638022042898973
3,50,x1,0.0925,0.19375,500,0.0765987075385583,0.2681774252966574
3,50,x1,0.0925,0.19375,500,0.07955060355232055,0.19117355908836448
3,50,x1,0.0925,0.19375,500,0.11021935541884195,0.15334300855813657
3,50,x1,0.0925,0.19375,500,0.057080567202510125,0.41392164675386217
3,50,x1,0.0925,0.19375,500,0.10952583258136118,0.09018342459382821
3,50,x1,0.0925,0.19375,500,0.07882598042304167,0.20633824732842995
3,50,x1,0.0925,0.19375,500,0.1303506262638926,-0.068180838486233325
3,50,x1,0.0925,0.19375,500,0.07466526138077573,0.28100191377881695
3,50,x1,0.0925,0.19375,500,0.13378320482215034,-0.06843233628804624
3,50,x1,0.0925,0.19375,500,0.08500119781869785,0.07413253363863384
3,50,x1,0.0925,0.19375,500,0.07805399634015167,0.12474471124159615
3,50,x1,0.0925,0.19375,500,0.08893133931167238,0.29984763526463176
3,50,x1,0.0925,0.19375,500,0.0762424941095309,0.15247557171911696
3,50,x1,0.0925,0.19375,500,0.09922826318482775,0.013662423059579515
3,50,x1,0.0925,0.19375,500,0.06775939678756351,0.12714890932310136
3,50,x1,0.0925,0.19375,500,0.09057589481434081,0.12716575381046327
3,50,x1,0.0925,0.19375,500,0.09574902104694982,0.09085704468134358
3,50,x1,0.0925,0.19375,500,0.08324106027860763,0.1570798236544201
3,50,x1,0.0925,0.19375,500,0.08083648785488827,0.06315103989210485
3,50,x1,0.0925,0.19375,500,0.0734681571059189,0.12644633160051777
3,50,x1,0.0925,0.19375,500,0.13386511897504366,0.145932580249008
3,50,x1,0.0925,0.19375,500,0.12101283286026963,-0.05126031910997433
3,50,x1,0.0925,0.19375,500,0.10583270830251064,-0.018229168235086565
3,50,x1,0.0925,0.19375,500,0.08628022197596351,0.05271154048042818
3,50,x1,0.0925,0.19375,500,0.08509726570092553,0.10525950155373914
3,50,x1,0.0925,0.19375,500,0.11050578413405916,0.06742130071865413
3,50,x1,0.0925,0.19375,500,0.08773721695145038,0.17741122936130552
3,50,x1,0.0925,0.19375,500,0.09942808955813766,-0.060860932949552755
3,50,x1,0.0925,0.19375,500,0.12704379566921864,-0.1288780403493353
3,50,x1,0.0925,0.19375,500,0.08542559625557876,0.07910282117122872
3,50,x1,0.0925,0.19375,500,0.08505466383814796,0.01575578705159608
3,50,x1,0.0925,0.19375,500,0.0814822473001517,0.3501269078188545
3,50,x1,0.0925,0.19375,500,0.105228815880409,0.020646815532769758
3,50,x1,0.0925,0.19375,500,0.1261537045729737,0.006724954636461582
3,50,x1,0.0925,0.19375,500,0.12226083433002582,0.24009820738181661
3,50,x1,0.0925,0.19375,500,0.09242192648586893,0.015883928822672543
3,50,x1,0.0925,0.19375,500,0.04344755025048068,0.2381872597756235
3,50,x1,0.0925,0.19375,500,0.07893385147119787,0.1439415055629012
3,50,x1,0.0925,0.19375,500,0.09736211488018709,0.12014655335876241
3,50,x1,0.0925,0.19375,500,0.08382867220522358,0.11547189596236558
3,50,x1,0.0925,0.19375,500,0.06290591415565966,0.3571010604466456
3,50,x1,0.0925,0.19375,500,0.07835832414001669,0.10522400161471726
3,50,x1,0.0925,0.19375,500,0.0951765899971078,0.05008379961176467
3,50,x1,0.0925,0.19375,500,0.09537932796910842,0.1283547950897018
3,50,x1,0.0925,0.19375,500,0.1016299303627037,0.07175763707139436
3,50,x1,0.0925,0.19375,500,0.11635377598593301,0.031125777762505333
3,50,x1,0.0925,0.19375,500,0.08100684492890195,0.2831291156742739
3,50,x1,0.0925,0.19375,500,0.10897712550430987,0.04684280841746045
3,50,x1,0.0925,0.19375,500,0.07824299772008365,0.3079150287027967
3,50,x1,0.0925,0.19375,500,0.08991908152416932,0.07518869995259302
3,50,x1,0.0925,0.19375,500,0.09138749664362882,0.11251397524338788
3,50,x1,0.0925,0.19375,500,0.06107726287609804,0.26545792150985437
3,50,x1,0.0925,0.19375,500,0.08513881732148937,0.1850705453305923
3,50,x1,0.0925,0.19375,500,0.14727490040052035,-0.17222435884197632
3,50,x1,0.0925,0.19375,500,0.115716641330799,-0.055137448295204707
3,50,x1,0.0925,0.19375,500,0.08601521761831848,0.20916309279824258
3,50,x1,0.0925,0.19375,500,0.09886930543273369,-0.002758813755610514
3,50,x1,0.0925,0.19375,500,0.12418108040484999,0.004213802399479223
3,50,x1,0.0925,0.19375,500,0.10199638417120807,0.029067428860242227
3,50,x1,0.0925,0.19375,500,0.0589708618522727,0.31608490638930553
3,50,x1,0.0925,0.19375,500,0.08165942386609312,0.19976710327909172
3,50,x1,0.0925,0.19375,500,0.09319525852430258,0.036525880660360756
3,50,x1,0.0925,0.19375,500,0.08549835743840183,0.4062526255184066
3,50,x1,0.0925,0.19375,500,0.09295491555223405,-0.02140434777639416
3,50,x1,0.0925,0.19375,500,0.09631448219163329,-0.0014900513951449908
3,50,x1,0.0925,0.19375,500,0.09194034784249512,0.05607764548960228
3,50,x1,0.0925,0.19375,500,0.09267367823365749,0.08359202778936073
3,50,x1,0.0925,0.19375,500,0.09121824733208991,0.12772314295532947
3,50,x1,0.0925,0.19375,500,0.12311715129004971,0.1286665440863246
3,50,x1,0.0925,0.19375,500,0.059762539481419664,0.17578850176991495
3,50,x1,0.0925,0.19375,500,0.08273892264667336,0.27865565776864715
3,50,x1,0.0925,0.19375,500,0.10290782962300303,0.010230646814469412
3,50,x1,0.0925,0.19375,500,0.08845919895523276,0.22166317823024384
3,50,x1,0.0925,0.19375,500,0.07984029807584285,0.192531613906956
3,50,x1,0.0925,0.19375,500,0.08585741419082223,0.36983219184102084
3,50,x1,0.0925,0.19375,500,0.11533987255446536,-0.025776314537441503
3,50,x1,0.0925,0.19375,500,0.09865708289542734,0.03824369634164061
3,50,x1,0.0925,0.19375,500,0.09660503394088489,-0.01444740320677833
3,50,x1,0.0925,0.19375,500,0.07641899122208881,0.33892780040226106
3,50,x1,0.0925,0.19375,500,0.08526132684915892,0.04947767685641239
3,50,x1,0.0925,0.19375,500,0.09785326839920205,0.03169458586237322
3,50,x1,0.0925,0.19375,500,0.11803537847038287,0.05743891524326304
3,50,x1,0.0925,0.19375,500,0.11444872957665807,-0.02302823925521887
3,50,x1,0.0925,0.19375,500,0.08841523090739076,0.22097035858389935
3,50,x1,0.0925,0.19375,500,0.10522134343199653,0.047172730086018015
3,50,x1,0.0925,0.19375,500,0.06385565588158994,0.2372672785242418
3,50,x1,0.0925,0.19375,500,0.10138416978624851,0.14673718257796323
3,50,x1,0.0925,0.19375,500,0.075955804668586,0.21983640961234047
3,50,x1,0.0925,0.19375,500,0.07868030606960434,0.16246276661083456
3,50,x1,0.0925,0.19375,500,0.0995943544484948,-0.007877451130183405
3,50,x1,0.0925,0.19375,500,0.0794057351272734,0.28788377132286314
3,50,x1,0.0925,0.19375,500,0.07066704406927113,0.19436118156253268
3,50,x1,0.0925,0.19375,500,0.1026013995206037,0.17503622212672298
3,50,x1,0.0925,0.19375,500,0.08187265305907382,0.36072308026098326
3,50,x1,0.0925,0.19375,500,0.08657044385830599,0.24366556256690552
3,50,x1,0.0925,0.19375,500,0.08642760100557002,0.4483051408100041
3,50,x1,0.0925,0.19375,500,0.05856920158588353,0.29435443020981866
3,50,x1,0.0925,0.19375,500,0.10749715765151878,0.05937290535469533
3,50,x1,0.0925,0.19375,500,0.09735661591448402,-0.014992494796474146
3,50,x1,0.0925,0.19375,500,0.0974758841782185,0.14320351027920203
3,50,x1,0.0925,0.19375,500,0.05809175754043179,0.4325101377195086
3,50,x1,0.0925,0.19375,500,0.08670561370769746,0.23743876845633685
3,50,x1,0.0925,0.19375,500,0.06559104413400683,0.32329431549646526
3,50,x1,0.0925,0.19375,500,0.07640507032180224,0.09883298679062132
3,50,x1,0.0925,0.19375,500,0.09254529466615194,0.2536491726580064
3,50,x1,0.0925,0.19375,500,0.07891732228088591,0.20990162810697927
3,50,x1,0.0925,0.19375,500,0.07946192287359981,0.2574025270935356
3,50,x1,0.0925,0.19375,500,0.08345016897702773,0.039087811987145664
3,50,x1,0.0925,0.19375,500,0.08570447125854622,0.18655886717531509
3,50,x1,0.0925,0.19375,500,0.10360346500357218,-0.004328217625209562
3,50,x1,0.0925,0.19375,500,0.0922949805361011,0.3370924594662134
3,50,x1,0.0925,0.19375,500,0.09537541202681446,0.01689590380947563
3,50,x1,0.0925,0.19375,500,0.06569835817591035,0.21217400769339206
3,50,x1,0.0925,0.19375,500,0.052180181645737865,0.292340727671905
3,50,x1,0.0925,0.19375,500,0.11577059951879941,0.15296475401416224
3,50,x1,0.0925,0.19375,500,0.08837261449347752,0.18376670577539775
3,50,x1,0.0925,0.19375,500,0.12759942111321337,0.02442462903432839
3,50,x1,0.0925,0.19375,500,0.09645557751157054,0.1416873861538593
3,50,x1,0.0925,0.19375,500,0.08471106977537095,0.2362760751668067
3,50,x1,0.0925,0.19375,500,0.09332116032121195,0.09241577827078774
3,50,x1,0.0925,0.19375,500,0.0972470510233553,0.0625241175806714
3,50,x1,0.0925,0.19375,500,0.07672600877798963,0.17783742715273054
3,50,x1,0.0925,0.19375,500,0.08166668943662182,0.16358985433938494
3,50,x1,0.0925,0.19375,500,0.09444811930460503,0.04420710700583051
3,50,x1,0.0925,0.19375,500,0.09139884709267262,0.14200806638773616
3,50,x1,0.0925,0.19375,500,0.10744824792944549,-0.006673289904233654
3,50,x1,0.0925,0.19375,500,0.06838000393640896,0.2623662524574243
3,50,x1,0.0925,0.19375,500,0.08951018083818703,0.30731878857211176
3,50,x1,0.0925,0.19375,500,0.09859631015500832,-0.012606324768032992
3,50,x1,0.0925,0.19375,500,0.12715446762314697,-0.07959675391032037
3,50,x1,0.0925,0.19375,500,0.07899952246484683,-0.0017645804796586767
3,50,x1,0.0925,0.19375,500,0.11769952810912034,0.05918709534587845
3,50,x1,0.0925,0.19375,500,0.07970782559261741,0.5685219597018867
3,50,x1,0.0925,0.19375,500,0.12266456874092495,-0.006681591069155341
3,50,x1,0.0925,0.19375,500,0.10093036106425707,0.014771416510957617
3,50,x1,0.0925,0.19375,500,0.10338712666524537,-0.08830685904417367
3,50,x1,0.0925,0.19375,500,0.10658911256511185,-0.03071549505314985
3,50,x1,0.0925,0.19375,500,0.09995717976181315,0.15610086578416316
3,50,x1,0.0925,0.19375,500,0.09202839762125323,0.140870684671461
3,50,x1,0.0925,0.19375,500,0.10809813821590813,0.11536427574068608
3,50,x1,0.0925,0.19375,500,0.10239821682679084,0.029943716154926452
3,50,x1,0.0925,0.19375,500,0.07842768906252211,0.03444389111089346
3,50,x1,0.0925,0.19375,500,0.13239793913312306,0.0354518742871402
3,50,x1,0.0925,0.19375,500,0.11636935210596339,0.022792764104647745
3,50,x1,0.0925,0.19375,500,0.09148389856205903,0.1677258821410798
3,50,x1,0.0925,0.19375,500,0.07200987992047748,0.17639181746702345
3,50,x1,0.0925,0.19375,500,0.06887045963961871,0.30771073917132397
3,50,x1,0.0925,0.19375,500,0.107560388005343,0.09905202043433521
3,50,x1,0.0925,0.19375,500,0.1155633775853354,-0.05832754855955607
3,50,x1,0.0925,0.19375,500,0.09656755056355666,0.11608440577789247
3,50,x1,0.0925,0.19375,500,0.12871168453041115,-0.07877192270350401
3,50,x1,0.0925,0.19375,500,0.08499565100764761,0.08197738300962974
3,50,x1,0.0925,0.19375,500,0.14977796629010656,-0.06999452954085371
3,50,x1,0.0925,0.19375,500,0.1521052489929881,-0.14390178994769645
3,50,x1,0.0925,0.19375,500,0.05844554349004665,0.5444457552623027
3,50,x1,0.0925,0.19375,500,0.08703618376432794,0.04977539759374531
3,50,x1,0.0925,0.19375,500,0.09977738181422562,-0.058220163440215265
3,50,x1,0.0925,0.19375,500,0.07927928556641942,0.1186505418590954
3,50,x1,0.0925,0.19375,500,0.10154839727846417,0.05484299813818426
3,50,x1,0.0925,0.19375,500,0.10935842052251915,0.018967877608603186
3,50,x1,0.0925,0.19375,500,0.06768010054856655,0.26414289691534426
3,50,x1,0.0925,0.19375,500,0.07789872745645907,0.18116494220645393
3,50,x1,0.0925,0.19375,500,0.11394457238083021,-0.0038517848611071986
3,50,x1,0.0925,0.19375,500,0.10740497525578155,-0.060575897926777374
3,50,x1,0.0925,0.19375,500,0.09400437566336708,-0.03822472855452452
3,50,x1,0.0925,0.19375,500,0.10649843127946873,0.2827262053880027
3,50,x1,0.0925,0.19375,500,0.10666122535150328,0.16597157883475755
3,50,x1,0.0925,0.19375,500,0.07362502059171892,0.3596120784832177
3,50,x1,0.0925,0.19375,500,0.06011259913238596,0.22520615467750046
3,50,x1,0.0925,0.19375,500,0.08169289335693375,0.32287395458152685
3,50,x1,0.0925,0.19375,500,0.07777264073931289,0.012639463307150139
3,50,x1,0.0925,0.19375,500,0.0647302894141067,0.13099951701013834
3,50,x1,0.0925,0.19375,500,0.10958526779310841,0.035650642390367714
3,50,x1,0.0925,0.19375,500,0.10928732493987772,0.048333555702211
3,50,x1,0.0925,0.19375,500,0.10991973812816642,-0.034294528227387384
3,50,x1,0.0925,0.19375,500,0.07146856094341016,0.32776364220655213
3,50,x1,0.0925,0.19375,500,0.09522704457754831,0.12152599479138179
3,50,x1,0.0925,0.19375,500,0.099318295977391155,-0.039770001178178506
3,50,x1,0.0925,0.19375,500,0.08394871137518312,0.2072853670020979
3,50,x1,0.0925,0.19375,500,0.11547823829618918,-0.07662835306141903
3,50,x1,0.0925,0.19375,500,0.1195130660736327,0.027404265221700978
3,50,x1,0.0925,0.19375,500,0.07837650044070377,0.03914437750739967
3,50,x1,0.0925,0.19375,500,0.10558101896808887,0.03310505310084649
3,50,x1,0.0925,0.19375,500,0.0997509511856549,0.03951867264570142
3,50,x1,0.0925,0.19375,500,0.08087933786239535,0.0497456791667779
3,50,x1,0.0925,0.19375,500,0.09798789508600993,0.13841616736456597
3,50,x1,0.0925,0.19375,500,0.10286972818955087,0.23137566301449392
3,50,x1,0.0925,0.19375,500,0.10545220701380703,0.011689468253580722
3,50,x1,0.0925,0.19375,500,0.12449247805014421,0.06839298305051483
3,50,x1,0.0925,0.19375,500,0.08783672065172816,0.1485699127063388
3,50,x1,0.0925,0.19375,500,0.11526627227444122,0.009297055419886074
3,50,x1,0.0925,0.19375,500,0.09481975665803744,0.013178074842234263
3,50,x1,0.0925,0.19375,500,0.1150592304649694,0.19146086742124005
3,50,x1,0.0925,0.19375,500,0.09406538398292884,-0.0015500424820115845
3,50,x1,0.0925,0.19375,500,0.08706195824518377,0.20595134031132156
3,50,x1,0.0925,0.19375,500,0.07984811106195971,0.05503096425152613
3,50,x1,0.0925,0.19375,500,0.12686032637276556,-0.012704552173281166
3,50,x1,0.0925,0.19375,500,0.0978581980261811,-0.023539610715845923
3,50,x1,0.0925,0.19375,500,0.08804605826430587,0.08639248642212641
3,50,x1,0.0925,0.19375,500,0.06198223524800159,0.28877084801407393
3,50,x1,0.0925,0.19375,500,0.1157529096909597,0.07124118764417185
3,50,x1,0.0925,0.19375,500,0.09632057704196272,0.11768845017400058
3,50,x1,0.0925,0.19375,500,0.10593112700658375,0.04325197330536482
3,50,x1,0.0925,0.19375,500,0.07846691236088396,0.2999624285949076
3,50,x1,0.0925,0.19375,500,0.08902241276689904,-0.015287776948030116
3,50,x1,0.0925,0.19375,500,0.10710872451876294,0.03388011761186933
3,50,x1,0.0925,0.19375,500,0.10125192292950622,0.061300147786098366
3,50,x1,0.0925,0.19375,500,0.06878958756656554,0.16143468625056173
3,50,x1,0.0925,0.19375,500,0.09163109255260629,0.017040310897952764
3,50,x1,0.0925,0.19375,500,0.04943396019908246,0.477790694188808
3,50,x1,0.0925,0.19375,500,0.11337899717787875,-0.013642765528356596
3,50,x1,0.0925,0.19375,500,0.10149828595407469,0.04577316870953498
3,50,x1,0.0925,0.19375,500,0.08397247198714622,0.14967037073744874
3,50,x1,0.0925,0.19375,500,0.10046004391602488,0.11355460839399771
3,50,x1,0.0925,0.19375,500,0.05661313170812125,0.3785821094903309
3,50,x1,0.0925,0.19375,500,0.08011057047398748,0.2497546819842113
3,50,x1,0.0925,0.19375,500,0.09986222447937944,0.07275640369491673
3,50,x1,0.0925,0.19375,500,0.08366892271311296,0.1911013786650086
3,50,x1,0.0925,0.19375,500,0.08640119506082442,0.20987752853775776
3,50,x1,0.0925,0.19375,500,0.10766965558219802,0.04251919567328347
3,50,x1,0.0925,0.19375,500,0.10623171474659868,0.034737959566157516
3,50,x1,0.0925,0.19375,500,0.0770527333488853,0.13057078502009514
3,50,x1,0.0925,0.19375,500,0.08543418421713082,0.008259677569570209
3,50,x1,0.0925,0.19375,500,0.050788653249826614,0.5167115137830689
3,50,x1,0.0925,0.19375,500,0.11148118814591126,-0.03456674862279053
3,50,x1,0.0925,0.19375,500,0.08130825833219366,0.14001691759187518
3,50,x1,0.0925,0.19375,500,0.06901660242927299,0.25778342289469247
3,50,x1,0.0925,0.19375,500,0.07324030384656184,0.2972167195846989
3,50,x1,0.0925,0.19375,500,0.1048024930704765,-0.06574121839454598
3,50,x1,0.0925,0.19375,500,0.06267016351632884,0.38084731567908325
3,50,x1,0.0925,0.19375,500,0.10558794042613052,0.2687266110770056
3,50,x1,0.0925,0.19375,500,0.08743322244977428,0.08971795951134194
3,50,x1,0.0925,0.19375,500,0.07133375746564218,0.06065448241664802
3,50,x1,0.0925,0.19375,500,0.06080781357941281,0.20360313480673192
3,50,x1,0.0925,0.19375,500,0.09769595334635296,0.1129357800404154
3,50,x1,0.0925,0.19375,500,0.08847015474099333,0.027160296144101963
3,50,x1,0.0925,0.19375,500,0.06352071898960943,0.18903591345920975
3,50,x1,0.0925,0.19375,500,0.0860462882692855,0.03328755442688641
3,50,x1,0.0925,0.19375,500,0.08297138913060291,0.170353378953192
3,50,x1,0.0925,0.19375,500,0.09925090583571816,0.11703303913627044
3,50,x1,0.0925,0.19375,500,0.13745031183622497,-0.06608432202685838
3,50,x1,0.0925,0.19375,500,0.11620027917536904,0.023972122461671342
3,50,x1,0.0925,0.19375,500,0.09121385251005618,0.08719857048908469
3,50,x1,0.0925,0.19375,500,0.0992466555085647,0.2641680913491514
3,50,x1,0.0925,0.19375,500,0.11448813227032585,0.06280761815728456
3,50,x1,0.0925,0.19375,500,0.07821360013411717,0.3313056402676817
3,50,x1,0.0925,0.19375,500,0.07784591335917575,0.18302146297736052
3,50,x1,0.0925,0.19375,500,0.06010880369355965,0.36000306781926245
3,50,x1,0.0925,0.19375,500,0.06091650234785179,0.25303464141782256
3,50,x1,0.0925,0.19375,500,0.11615115490457427,0.031232288005825753
3,50,x1,0.0925,0.19375,500,0.10896490183408587,0.12125399527091568
3,50,x1,0.0925,0.19375,500,0.08040440664650626,0.30769982022116393
3,50,x1,0.0925,0.19375,500,0.13086788126523513,0.004119213044610869
3,50,x1,0.0925,0.19375,500,0.10614927332361081,0.04004561377299925
3,50,x1,0.0925,0.19375,500,0.08415594570659596,0.1115008961549663
3,50,x1,0.0925,0.19375,500,0.09577344992939903,0.14390603010092784
3,50,x1,0.0925,0.19375,500,0.12222190577021354,-0.005087660399001657
3,50,x1,0.0925,0.19375,500,0.08389085587590747,0.03490549381484664
3,50,x1,0.0925,0.19375,500,0.08012180533781472,0.3772156288465149
3,50,x1,0.0925,0.19375,500,0.10117302615770563,0.23436003719741788
3,50,x1,0.0925,0.19375,500,0.10291414848571477,0.05212754356918106
3,50,x1,0.0925,0.19375,500,0.08042391499833673,0.4086603707024196
3,50,x1,0.0925,0.19375,500,0.1059388953340524,0.0242703375759147
3,50,x1,0.0925,0.19375,500,0.07563879024831983,0.16802051721277797
3,50,x1,0.0925,0.19375,500,0.08457400048489772,0.03541523549870161
3,50,x1,0.0925,0.19375,500,0.08947065725859507,0.07050911828613003
3,50,x1,0.0925,0.19375,500,0.09041130769953361,0.14898903325992174
3,50,x1,0.0925,0.19375,500,0.09455579651276659,0.08164065259480671
3,50,x1,0.0925,0.19375,500,0.09292741961293077,0.29086113205884473
3,50,x1,0.0925,0.19375,500,0.09007746395804803,-0.030713232053754785
3,50,x1,0.0925,0.19375,500,0.11118112024975918,0.04125975969620943
3,50,x1,0.0925,0.19375,500,0.09338794858552348,-0.0067512781761894704
3,50,x1,0.0925,0.19375,500,0.08014065704263011,0.36233804065284664
3,50,x1,0.0925,0.19375,500,0.09622474825189954,0.07203824326852873
3,50,x1,0.0925,0.19375,500,0.0799913472492054,0.15221191738302237
3,50,x1,0.0925,0.19375,500,0.09752419042089562,0.09339991855428928
3,50,x1,0.0925,0.19375,500,0.09337639300635127,0.030331976993417113
3,50,x1,0.0925,0.19375,500,0.11095152097816298,-0.10250939874525264
3,50,x1,0.0925,0.19375,500,0.10054856415254967,0.21823184855671218
3,50,x1,0.0925,0.19375,500,0.08742826109883076,0.2304769786924606
3,50,x1,0.0925,0.19375,500,0.0785148679697435,0.22562085668188372
3,50,x1,0.0925,0.19375,500,0.0799879012438519,0.19304952293981337
3,50,x1,0.0925,0.19375,500,0.08930942475285694,0.21354160048207818
3,50,x1,0.0925,0.19375,500,0.13763502805172828,0.027348751476232298
3,50,x1,0.0925,0.19375,500,0.10061646154585395,0.10859317033441403
3,50,x1,0.0925,0.19375,500,0.09413712624129196,0.004422796541728269
3,50,x1,0.0925,0.19375,500,0.09133381752380124,0.004851616010113945
3,50,x1,0.0925,0.19375,500,0.1082294194932363,-0.021642252763115433
3,50,x1,0.0925,0.19375,500,0.08795665426321397,0.08707550520900222
3,50,x1,0.0925,0.19375,500,0.07540132215539262,0.1256571102762345
3,50,x1,0.0925,0.19375,500,0.0651761809852143,0.5864407334284121
3,50,x1,0.0925,0.19375,500,0.07477040375205253,0.12216474467443457
3,50,x1,0.0925,0.19375,500,0.0647081613279048,0.27262552189713934
3,50,x1,0.0925,0.19375,500,0.08060271445923073,0.11794477198971068
3,50,x1,0.0925,0.19375,500,0.08603295937040421,0.07696939490146483
3,50,x1,0.0925,0.19375,500,0.11570325823098375,-0.028521125076384955
3,50,x1,0.0925,0.19375,500,0.09232935841294122,0.16472191257413987
3,50,x1,0.0925,0.19375,500,0.1474791597888579,-0.12444555340314006
3,50,x1,0.0925,0.19375,500,0.09396693580018804,0.028761632159278676
3,50,x1,0.0925,0.19375,500,0.0683605510673432,0.17977263945956734
3,50,x1,0.0925,0.19375,500,0.09195146844715874,0.06055045001481462
3,50,x1,0.0925,0.19375,500,0.09695243228583876,0.056737464128201666
3,50,x1,0.0925,0.19375,500,0.05057282948460064,0.5561749263178363
